Key,Value,Original
22066460,Могильник Кингхарт,The Kinghart Burial Ground
22069547,Холд Виктон,The Hold of Wickton
22078383,Особняк Мастерфорд,Masterford Manor
22080768,Найтсли,Knightsley
22082221,Крипты Грининг,THe Crypts of Greening
22095265,Бесконечная Реликвия Зенитара,Infinite Relic of Zenithar
22114723,Руины Хижины Йеоминг,Ruins of The Yeoming Cabin
22121811,Болото Рейбридж,Reybridge Moor
22129198,Хижина Ашам,The Ashham Cabin
22131392,Холд Хартхэма,Hearthham's Hold
22142516,Извечный Алтарь Мары,Perpetual Altar of Mara
22156329,Фруктовый Сад Копперфорд,Copperford Orchard
22170960,Плантация Мастеркрофт,The Mastercroft Plantation
22174943,Кирквуд Филд,Kirkwood Field
22206947,Хижина Мастерфилд,The Masterfield Cabin
22212799,Руины Особняка Йеоминг,Ruins of Yeoming Manor
22237069,Внутреннее Возрождение Зенитара,Inner Rebirth of Zenithar
22290211,Усадьба Хоуквинг,The Hawkwing Farmstead
22301861,"Сторожка ""Ущелье Дьявола""",The Devil's Chasm Lodge
22303022,Жилище Старой Д'орг-си,Old D'org-si's Place
22303956,Руины Сада С'ушта,Ruins of C'ushta Orchard
22318700,Безмолвный Оракул Аркея,Silent Oracle of Arkay
22323646,Руины Замка Б'ирн,Ruins of Castle B'irn
22340950,Питирийса,Pythyryisa
22349808,Осаскутон,Osascuton
22370472,Старое Жилище Блиштен,The Old Blishten Place
22388615,Кладбище Кирцем,The Kircem Cemetery
22417712,Замок Лхишен,Castle Lhishen
22425408,"Таверна ""Барсук Королевы""",The Queen's Badger Inn
22434346,"Таверна ""Крот и Карьер""",The Mole and Pit Tavern
22449969,Жавайжет,Javajjet
22450564,"Таверна ""Багровый Гном""",The Crimson Gnome Inn
22453335,Калерег,Kalereg
22453760,Балах,Balah
22469727,Руины Особняка Тач,Ruins of Tach Manor
22481284,Убежище Доркум,The Dorkum Asylum
22482500,Друерлат,Druerlath
23071033,Ипсбра,Ipsbrugh
23071535,Хибара Старой Эливиры,Old Elyvyra's Hovel
23074204,Ферма Старого Барбина,Old Barbyn's Farm
23074954,Тамброн,Tambrone
23087227,Оксли,Oxleigh
23113299,Хижина Грининг,The Greening Cabin
23115041,Вайтфорд,Whiteford
23118133,Холл Букингфорд,Buckingford Hall
23126961,Монумент Дивад,Divad Monument
23129372,Благословенный Восход Дибеллы,Blessed Sunrise of Dibella
23131776,Вайтидж,Whiteidge
23143854,Кладбище Копперинг,The Coppering Graveyard
23163301,Особняк Мурсли,Moorsly Manor
23170397,Реликварий Сай,Reliquary of Sai
23177777,Поющий Провидец Джулианоса,Singing Seer of Julianos
23180955,Броадкарт,Broadcart
23192028,Хоркасл,Horcastle
23204908,Ламброн,Lambrone
23219540,Руины Старой Лачуги Эшинг,Ruins of The Old Ashing Shack
23224481,Рейвелл,Reywell
23255525,Тюрьма Дунистэра,The Prison of Dunistyr
23261407,Руины Жилища Старой Барбары,Ruins of Old Barbara's Place
23285657,Театр Киран,Kieran Theatre
23340783,"Сторожка ""Багровый Скорпион""",The Crimson Scorpion Lodge
23350442,Холд Гав'керн,The Hold of Gav'kern
23351644,"Таверна ""Перо и Коза""",The Feather and Goat Inn
23352535,Особняк Рлорхт,Rlorht Manor
23367291,"Хостел ""Свинья и Кинжал""",The Pig and Dagger Hostel
23373226,Крепость Рхорпом,The Fortress of Rhorpom
23390436,"Сторожка ""Лев и Грифон""",The Lion and Griffin Lodge
23400362,Фруктовый Сад Слурттен,Slurtten Orchard
23419056,Наририрет,Naririret
23437195,Аппехла,Appehla
23467165,Гробницы Кофилт,The Tombs of Cofylt
23474948,Замок Мормун,Castle Mormun
23482926,"Паб ""Сурок Короля""",The King's Woodchuck Pub
23498594,Жилище Старой Дхувты,Old Dhuvta's Place
23499146,Бесконечная Звезда Мары,Infinite Star of Mara
23501917,Особняк Мийке,Mijke Manor
23504324,Двор Глагхтон,Glaghton Court
23519340,Гнездо Скортена,The Nest of Skoerten
23530863,"Паб ""Рысь и Дракон""",The Lynx and Dragon Pub
23531101,Ферма Старой Чурмбы,Old Churmba's Farm
24119611,Ипсвилл,Ipsville
24120113,Вечный Восход Кинарет,Eternal Sunrise of Kynareth
24122831,Жилище Старика Барбольда,Old Barbolda's Place
24124469,"Таверна ""Неугомонный Джинн""",The Restless Djinn Tavern
24135807,"Хостел ""Золотой Дикобраз""",The Gold Porcupine Hostel
24161881,Погост Гринвинг,The Greenwing Graveyard
24164610,Амбар Гаеркрофт,Gaercroft Grange
24167677,Холл Кингхаус,Kinghouse Hall
24175539,Особняк Муринг,Mooring Manor
24177952,Фруктовый Сад Эшстон,Ashston Orchard
24180355,Горящее Знамение Мары,Burning Omen of Mara
24193399,Особняк Вудинг,Wooding Manor
24212882,Сингвих,Singwych
24218975,Усадьба Хоукхаус,The Hawkhouse Farmstead
24227322,Дирлеч Дерри,Deerlech Derry
24229551,Святилище Сахиаминкс,The Sahiaminx Shrine
24240615,"Хостел ""Мышь и Страж""",The Mouse and Guard Hostel
24253503,Ламкрофт,Lamcroft
24268118,Руины Сада Вудтон,Ruins of Woodton Orchard
24273066,Плантация Хартвинг,The Hearthwing Plantation
24304127,Возвышенность Скулратрак,The Roost of Skulrathrac
24312929,Кладбище Йеомарт,The Yeomhart Graveyard
24335212,Особняк Гринсмит,Greensmith Manor
24390361,Руины Холда Виккрофт,Ruins of The Hold of Wickcroft
24399897,Амбар Голлур,Gollur Grange
24401133,Дворец Бэстем,Baestem Palace
24402058,Холл Нхерч'керн,Nherch'kern Hall
24416873,Бубиллига,Bubilliga
24422782,Усадьба В'ев,The V'ev Farmstead
24439033,"Таверна ""Штурвал Дьявола""",The Devil's Helm Tavern
24448963,Замок Вларун,Castle Vlarun
24467634,Священное Дерево Аркея,Sacred Tree of Arkay
24486697,Дворец Круктте,Kructte Palace
24516751,Дерево Страха Стендарра,Fearful Tree of Stendarr
24523552,Руины Дворца Т'елпир,Ruins of T'elpir Palace
24532476,Ферма Старой Стерч-е,Old Sterch-e's Farm
24547725,Крипты Фив,THe Crypts of Fhiv
24548081,"Корчма ""Дикая Ондатра""",The Savage Muskrat Inn
24551464,Амбар Мег,Meg Grange
24552908,Усадьба С'ушт,The C'usht Farmstead
24568856,Нора Демотаха,The Hole of Demothah
24579454,Осаактон,Osaaqton
24580661,Месурег,Mesureg
25168194,Погост Викхарт,The Wickhart Graveyard
25168738,Пещера Моркилоргон,The Morkilorgon Cavern
25172292,Холл Хартсмит,Hearthsmith Hall
25173053,Ферма Старой Элольды,Old Elolda's Farm
25184391,Подземелье Гринкрофт,The Greencroft Vaults
25210471,Руины Лачуги Старой Барбайн,Ruins of Old Barbayne's Shack
25213209,Честерфорд,Chesterford
25216271,Башня Кингхаус,Kinghouse Tower
25224127,Внутренний Оракул Аркея,Inner Oracle of Arkay
25227488,Безмолвный Пророк Дибеллы,Silent Prophet of Dibella
25228937,Община Бэлварк,Baelwark Commons
25241983,Фруктовый Сад Вудфилд,Woodfield Orchard
25262434,Каирн Маркиза Магненуса,The Cairn of Marquis Magnenus
25268518,Усадьба Кингсмит,The Kingsmith Farmstead
25275934,Святилище Дугрода,Shrine of Dugrod
25278136,Болото Лонгмот,Longmoth Moor
25289196,Лечебница Тристин,The Tristyn Reformatory
25303064,Горящий Пророк Кинарет,Burning Prophet of Kynareth
25316699,Руины Жилища Старой Гвинины,Ruins of Old Gwynyna's Place
25321659,Кладбище Мурэм,The Moorham Graveyard
25352705,Деревня Галлоинг,Galloing Hamlet
25361511,Дом Баромана,The House of Baroman
25383790,Гаводон,Gavaudon
25439935,Погост Виксли,The Wicksly Graveyard
25448536,Горящее Вознесение Джулианоса,Burning Ascencion of Julianos
25449742,Кладбище Рург,The Rurg Cemetery
25451599,Горящее Вознесение Джулианоса,Burning Ascencion of Julianos
25465475,Лачуга Старый Кьегтом,The Old Cyeghtom Shack
25472376,Рамемитор,Ramemitor
25487628,Амбар Баульд,Bauld Grange
25498518,Гисухан,Gysuhan
25517216,Исфакаби,Isfakabi
25535299,Холл Фаге,Fage Hall
25565421,Подземелье Т'ардер,The T'arder Vaults
25572130,Усадьба Роджум,The Rojum Farmstead
25581062,Менакат,Menakat
25596678,Реликварий Раена,Reliquary of Raen
25597275,Крепость Фхежон,The Stronghold of Fhejon
25600053,Байри-Хасси,Byry-Hassi
25602474,Моририбия,Moriribia
25617442,Руины Лачуги Старого Тлард-и,Ruins of Old Tlard-i's Shack
25628995,Поющий Идол Джулианоса,Singing Idol of Julianos
25630227,"Сторожка ""Серебряный Джинн""",The Silver Djinn Lodge
26216777,Реймор,Reymore
26217316,Пещера Асмодеусиваха,The Cave of Asmodeusivah
26220886,Лонгвейл,Longvale
26221648,Амбар Йеомсли,Yeomsly Grange
26233905,Дворец Йеомсли,Yeomsley Palace
26259994,"Хостел ""Серебряный Олень""",The Silver Stag Hostel
26261795,Усадьба Мастеринг,The Mastering Farmstead
26264853,Усадьба Гринтон,The Greenton Farmstead
26272705,Ягфанг,Yagphang
26277057,Вайтинг,Whiteing
26277515,Амбар Хокхарт,Hawkhart Grange
26290563,Фонттри,Fonttry
26311032,Двор Кингхаус,Kinghouse Court
26317099,Руины Фермы Старой Элейны,Ruins of Old Elayne's Farm
26325463,"Таверна ""Летающий Кувшин""",The Flying Jug Inn
26326726,Киркинг,Kirking
26337779,Старая Лачуга Копперхарт,The Old Copperhart Hovel
26351650,Старая Лачуга Копперслей,The Old Coppersley Shack
26367257,Лачуга Старой Элизоны,Old Elyzona's Shack
26371197,"Сторожка ""Белая Коза""",The White Goat Lodge
26401285,Шабаш Элирра,The Elyrrya Coven
26412048,Каирн Владелулон,The Cairn of Vladelulon
26432369,Башня Гаэртон,Tower Gaerton
26497124,Реликварий Сай,Reliquary of Sai
26498335,Сообщество Везка,The Community of Vezca
26500212,Ферма Старой Блирмки,Old Blirmki's Farm
26514055,"Таверна ""Бобр и Подземелье""",The Beaver and Dungeon Tavern
26520958,"Сторожка ""Смеющееся Ущелье""",The Laughing Chasm Lodge
26536206,Анрог,Anrog
26547100,Двор Слурхт,Slurht Court
26566769,Монастырь Баалеброна,The Monastery of Baalebron
26583926,Кладбище Дхирмем,The Dhirmem Graveyard
26614955,Руины Усадьбы Гхач,Ruins of The Ghach Farmstead
26620731,"Сторожка ""Перо и Ущелье""",The Feather and Chasm Lodge
26629643,Холл Гифил,Gifyl Hall
26645270,"Паб ""Гном Дьявола""",The Devil's Gnome Pub
26645857,Старое Жилище Фаорхт,The Old Faorht Place
26648635,"Паб ""Крот и Дракон""",The Mole and Dragon Pub
26651057,Холд Слилдума,Slildum's Hold
26666923,Плантация Хидж'керн,The Khij'kern Plantation
26677575,Особняк Ф'оз,F'oz Manor
26678805,Лощина Балерулла,Balerulla Hollow
27265355,Месторождение Гондард,The Gondard Lode
27265954,Усадьба Кингстон,The Kingston Farmstead
27269468,Старая Лачуга Кингхарт,The Old Kinghart Shack
27271195,Стокволл,Stokwall
27282483,Реликварий Раена,Reliquary of Raen
27308595,Замок Ашам,Castle Ashham
27310393,Замок Кингфилд,Castle Kingfield
27313434,"Таверна ""Крот и Сурок""",The Mole and Woodchuck Tavern
27321299,Руины Башни Йеомхам,Ruins of Tower Yeomham
27325676,Холл Грининг,Greening Hall
27326099,Дом Исправления Дунард,The Dunard House of Correction
27339154,Мидкарт,Midcart
27359612,Усадьба Гринфорд,The Greenford Farmstead
27365688,Плантация Гринфилд,The Greenfield Plantation
27374043,Усадьба Гринсли,The Greensly Farmstead
27375320,Крепость Кингфилд,The Stronghold of Kingfield
27386366,Плантация Коппертон,The Copperton Plantation
27400237,Старая Лачуга Бакингсли,The Old Buckingsly Shack
27415851,Азрат,Azrath
27419776,Диртон Филд,Deerton Field
27449870,Собор Гримли,Grimleigh Minster
27460713,Усадьба Хартсмит,The Hearthsmith Farmstead
27482951,Грумнорат,Grumnorath
27545704,Старая Лачуга Раустен,The Old Rausten Shack
27546919,Тулаиллисия,Tulaillisia
27548829,Кладбище Каиргум,The Cairgum Cemetery
27563571,Нежная Звезда Аркея,Gentle Star of Arkay
27570515,Атруза,Atruza
27584784,Дамутуплекс,Damuthuplex
27595679,"Таверна ""Красный Волк""",The Red Wolf Inn
27615348,Умбандадису,Umbandadisu
27632519,Кладбище Т'авт,The T'avt Graveyard
27663535,Руины Дворца Тлурн'керн,Ruins of Tlurn'kern Palace
27670263,Замок Нхурм,Castle Nhurm
27679216,"Сторожка ""Рысь и Огр""",The Lynx and Ogre Lodge
27693893,"Паб ""Лиса и Кувшин""",The Fox and Jug Pub
27695420,Старая Лачуга Б'ожин,The Old B'ojin Hovel
27697213,Фруктовый Сад Т'аштен,T'ashten Orchard
27700629,Сантаки,Santaki
27716641,Руины Лачуги Старого К'улдта,Ruins of Old C'uldtha's Shack
27726153,"Паб ""Летящая Коза""",The Flying Goat Pub
27727383,"Корчма ""Смеющийся Гоблин""",The Laughing Goblin Inn
28313940,Особняк Мастертон,Masterton Manor
28315200,Склепы Бакингсли,The Buckingsley Crypts
28318092,"Хостел ""Штурвал Королевы""",The Queen's Helm Hostel
28319779,Особняк Гирхауз,Gaerhouse Manor
28331075,"Хостел ""Барсук Дьявола""",The Devil's Badger Hostel
28357193,Чаренвелл,Charenwell
28359965,Извечная Звезда Джулианоса,Perpetual Star of Julianos
28362019,Сторожевая Башня Гаерхарт,Gaerhart's Guard
28369886,Кладбище Хоуксмит,The Hawksmith Cemetery
28374255,Вайтварк,Whitewark
28374679,Усадьба Вудсли,The Woodsly Farmstead
28387740,Рейтауэр,Reytower
28409150,"Паб ""Неугомонный Дикобраз""",The Restless Porcupine Pub
28414282,Усадьба Гаерслей,The Gaersley Farmstead
28422632,Гробницы Копперхауса,The Tombs of Copperhouse
28424822,"Сторожка ""Багровая Ондатра""",The Crimson Muskrat Lodge
28434955,Усадьба Бакингсмит,The Buckingsmith Farmstead
28448815,Поющий Провидец Кинарет,Singing Seer of Kynareth
28464450,Грипдот,Gripdoth
28468355,Старая Лачуга Виксли,The Old Wicksly Shack
28498458,Чаренвич,Charenwich
28510249,Фруктовый Сад Копперинг,Coppering Orchard
28531534,Усадьба Эшслей,The Ashsley Farmstead
28594283,Вольер Иэрок,The Aviary of Yearock
28596456,"Хостел ""Мышь и Косуля""",The Mouse and Fawn Hostel
28599372,Рогастабу,Rhogastabu
28613157,Сириллитор,Syrillitor
28619100,Лачуга Старой Стайбы,Old Stajba's Shack
28633380,Руины Особняка Грилл,Ruins of Grill Manor
28646272,Холл Баиг,Baig Hall
28664932,Бубопада,Bubopada
28681107,Кладбище Б'аджон,The B'ajon Cemetery
28712158,Особняк Мхургин,Mhurgin Manor
28718877,"Хостел ""Воющий Карьер""",The Howling Pit Hostel
28727804,Фруктовый Сад Глирном,Glirnom Orchard
28743397,Кудабу,Cudabu
28744028,Внутренний Алтарь Мары,Inner Altar of Mara
28746754,Особняк Тлактрн,Tlactrn Manor
28749207,Башня Кхузке,Tower Khuzke
28765244,Руины Амбара Б'афил,Ruins of B'afyl Grange
28774732,Амбар Шучим,Shuchim Grange
28775969,"Паб ""Красный Карьер""",The Red Pit Pub
29362539,Тунвилл,Tunville
29363789,"Таверна ""Зеленая Ондатра""",The Green Muskrat Inn
29366692,Цитадель Кингхарт,The Stronghold of Kinghart
29368370,Цитадель Эшинг,The Citadel of Ashing
29379655,Жилище Старый Кингфорд,The Old Kingford Place
29406720,Башни Бакингсли,Tower Buckingsly
29409477,Кладбище Копперфорд,The Copperford Cemetery
29410600,"Таверна ""Воющая Кружка""",The Howling Mug Inn
29419407,Особняк Хоксли,Hawksly Manor
29423273,Руины Хоуквинг,The Hawkwing Ruins
29423789,Плантация Мурвинг,The Moorwing Plantation
29437289,Могилы Эшстона,The Graves of Ashston
29457743,Кладбище Хоксли,The Hawksly Cemetery
29463830,Плантация Эшсмит,The Ashsmith Plantation
29471210,Башня Копперфильд,Tower Copperfield
29473401,Ламгейт,Lamgate
29483533,Усадьба Букингинг,The Buckinging Farmstead
29498364,Старая Лачуга Хокхарт,The Old Hawkhart Shack
29513989,Усадьба Эшфилд,The Ashfield Farmstead
29516944,Старая Лачуга Хокинг,The Old Hawking Shack
29547992,Бургкарт,Burgcart
29559836,Погост Мурфорд,The Moorford Graveyard
29582111,"Корчма ""Несчастная Собака""",The Unfortunate Dog Inn
29642862,Благословенное Дерево Джулианоса,Blessed Tree of Julianos
29645077,"Паб ""Серебряный Косуля""",The Silver Fawn Pub
29647955,Гробница Веримит,The Tomb of Verimyth
29661742,Лачуга Старого Старнца,Old Starnca's Shack
29668652,"Таверна ""Крыса и Варвар""",The Rat and Barbarian Tavern
29681964,Поющее Возрождение Зенитара,Singing Rebirth of Zenithar
29694862,Старая Лачуга Слолпен,The Old Slolpen Hovel
29713513,Кровоточащий Искупитель Аркея,Bleeding Redeemer of Arkay
29730574,Карьер Фаоллан,The Faollan Pit
29760740,Плачущий Искупитель Стендарра,Weeping Redeemer of Stendarr
29768408,Старое Жилище Рхайгтом,The Old Rhightom Place
29776391,Папумба-Хасси,Papumba-Hassi
29791993,Кудоо,Cudoo
29793591,"Хостел ""Черная Собака""",The Black Dog Hostel
29796342,Седетту-Тар,Sedettu-Thar
29797787,Крепость Рласон,The Fortress of Rlason
29814665,Шахты Рилпт,The Rilpte Mines
29823311,Холд Раэрхтер,The Hold of Raerhter
29824563,Серунну-Хасси,Cerunnu-Hassi
30411122,Усадьба Муринг,The Mooring Farmstead
30412371,"Паб ""Жаба и Сурок""",The Toad and Woodchuck Pub
30415274,"Таверна ""Несчастный Гном""",The Unfortunate Gnome Inn
30416980,Алдхам,Aldham
30428236,Холли Хилл,Holley Hill
30455303,Холл Эшслей,Ashsley Hall
30458057,Сторожка Джен,Djen Lodge
30460139,Тюрьма Гондивэра,The Gaol of Gondywyr
30467985,Чарброн,Charbrone
30472399,Благословенное Знамение Дибеллы,Blessed Omen of Dibella
30472798,Благословенный Провидец Мары,Blessed Seer of Mara
30485878,Горящая Реликвия Зенитара,Burning Relic of Zenithar
30506359,Крепость Гринтон,The Fortress of Greenton
30512422,Старая Хибара Гаерсли,The Old Gaersly Hovel
30520779,Святое Знамение Джулианоса,Holy Omen of Julianos
30521982,Замок Гаерхарт,Castle Gaerhart
30532138,Крепость Родистаир,The Fortress of Rodistair
30546948,Реликварий Сай,Reliquary of Sai
30563573,Громгаус,Gromgaus
30565525,Нежная Реликвия Дибеллы,Gentle Relic of Dibella
30596587,Амбар Эшинг,Ashing Grange
30609345,Фруктовый Сад Гаерсмит,Gaersmith Orchard
30631668,Горящий Мученик Зенитара,Burning Martyr of Zenithar
30691441,Святое Вознесение Джулианоса,Holy Ascencion of Julianos
30693680,Руины Особняка Д'эч,Ruins of D'ech Manor
30696533,Гнездо Хезтор,The Hezthor Nest
30711352,"Таверна ""Лев и Великан""",The Lion and Giant Tavern
30717231,Калурег,Kalureg
30730543,Нежный Оракул Зенитара,Gentle Oracle of Zenithar
30744409,"Корчма ""Красный Грифон""",The Red Griffin Inn
30762091,"Таверна ""Волк Королевы""",The Queen's Wolf Inn
30779156,"Таверна ""Мышь и Кот""",The Mouse and Cat Inn
30810229,Руины Сада Мхурп,Ruins of Mhurp Orchard
30816987,Крипты Ф'артар,THe Crypts of F'artar
30825931,Подземелье Гароггита,The Vault of Garoghyth
30840617,"Хостел ""Череп Королевы""",The Queen's Skull Hostel
30842183,Двор Райж,Raej Court
30844947,Усадьба Б'ульд,The B'uld Farmstead
30847372,Особняк Циогтер,Cyoghter Manor
30863270,Руины Цитадели Тлернрн,Ruins of The Citadel of Tlernrn
30871891,Особняк Глай,Glaj Manor
30873149,Особняк С'олпе,C'olpe Manor
31459706,Башня Хокинг,Tower Hawking
31460970,Фруктовый Сад Эшфорд,Ashford Orchard
31463855,"Корчма ""Перо и Плут""",The Feather and Rascal Tavern
31466510,"Сторожка ""Мышь и Великан""",The Mouse and Giant Lodge
31476844,"Сторожка ""Смеющийся Волк""",The Laughing Wolf Lodge
31503886,"Таверна ""Лжец и Ондатра""",The Knave and Muskrat Tavern
31506639,Гробницы Викфорд,The Wickford Tombs
31508740,Дворец Мастерхарт,Masterhart Palace
31516574,Руины Сторожевой Башни Ашхарт,Ruins of Ashhart's Guard
31521382,Ферма Старой Ваннывиры,Old Vannyvyra's Farm
31522945,Склепы Эшхаус,The Ashhouse Crypts
31535433,Старая Лачуга Копперкрофт,The Old Coppercroft Shack
31555875,Гролрафанг,Grolraphang
31561003,Усадьба Мастервинг,The Masterwing Farmstead
31569384,Двор Йеомвинг,Yeomwing Court
31570575,Руины Сада Мурэм,Ruins of Moorham Orchard
31581655,Хижина Хартстон,The Hearthston Cabin
31595532,Холл Вудсмит,Woodsmith Hall
31612158,Скодон,Skodon
31614104,Хибара Старой Гвинаусы,Old Gwynausa's Hovel
31645167,Аркмаркет,Arkmarket
31657973,Кладбище Муртон,The Moorton Cemetery
31681247,"Таверна ""Счастливая Птица""",The Lucky Bird Inn
31740019,Извечный Восход Джулианоса,Perpetual Sunrise of Julianos
31743178,Вадиджиланис,Wadijilanis
31746056,Башня Саолл,The Tower of Saoll
31761888,Мовейн,Moweyn
31765810,Багада,Baghada
31779132,Наренаджер,Narenajer
31793012,Рама-Ий,Rama-Ij
31811644,Лачуга Старой Рлоскии,Old Rloski's Shack
31827793,Тулаия,Tulaia
31859850,Сеть Азарус,The Azarus Web
31866571,"Паб ""Танцующий Ёж""",The Dancing Hedgehog Pub
31874517,Лачуга Старой Нхарны,Old Nharni's Hovel
31890108,Усадьба Бормир,The Bormir Farmstead
31893752,Седемиан,Sedemian
31894520,"Паб ""Лиса и Карьер""",The Fox and Pit Pub
31896927,Тасириа,Tasiria
31911898,Кладбище Тишан,The Tishan Graveyard
31920477,Руины Лачуги Старой Нхурдти,Ruins of Old Nhurdti's Hovel
31922704,Усадьба Нилпер,The Nilper Farmstead
32508294,Гробницы Кингфилд,The Tombs of Kingfield
32509552,Блэксестер,Blackcester
32512449,Лонгвей,Longway
32515117,Киркмот,Kirkmoth
32526351,Особняк Кингслей,Kingsley Manor
32552469,Холд Гринфорда,Greenford's Hold
32555237,"Таверна ""Красная Собака""",The Red Dog Tavern
32557332,Крепость Гэрхем,The Stronghold of Gaerham
32565184,Крепость Эшхаус,The Fortress of Ashhouse
32570003,Друралат,Druralath
32573521,Гримкрофт,Grimcroft
32585005,Погост Хокслей,The Hawksley Graveyard
32604467,Особняк Мастертон,Masterton Manor
32610552,"Таверна ""Лжец и Страж""",The Knave and Guard Inn
32617965,Усадьба Йеомфорд,The Yeomford Farmstead
32619161,Священное Дерево Аркея,Sacred Tree of Arkay
32630238,Бродтейл,Broadtale
32645087,Усадьба Йеомтон,The Yeomton Farmstead
32662687,Святилище Джоуд,Jode Shrine
32662733,Святилище Хомунебас,The Homunebas Shrine
32693745,Крепость Викфорд,The Fortress of Wickford
32707505,Погост Хокслей,The Hawksley Graveyard
32729837,Старая Лачуга Гаерслей,The Old Gaersley Hovel
32788601,Дамокко-Гора,Damocco-Gora
32791778,Особняк Грач,Grach Manor
32794643,Норсот,Northoth
32810498,Усадьба Ливрн,The Livrn Farmstead
32814392,"Паб ""Несчастный Дракон""",The Unfortunate Dragon Pub
32827717,Наракатон,Narakaton
32843560,Козансет,Kozanset
32860226,Лачуга Старой Лорхт-и,Old Lorht-i's Shack
32876384,Благословенный Восход Мары,Blessed Sunrise of Mara
32910438,Башня Тузе,The Tower of Thuze
32915161,Холд Ворара,Vorar's Hold
32923104,Ферма Старой Гхагтхы,Old Ghagtha's Farm
32938707,Особняк Флезер,Flezer Manor
32944070,Особняк Мхурд,Mhurd Manor
32944318,Старое Жилище Лулдерн,The Old Luldrn Place
32945508,Тасаакара,Tasaaqara
32961436,Руины Двора Саоллин,Ruins of Saollin Court
32969056,Двор Козта,Kozta Court
32971284,Аппийвейн,Appiiweyn
33557745,Особняк Вудинг,Wooding Manor
33558134,"Корчма ""Жаждущий Дракон""",The Thirsty Dragon Inn
33561041,Вайтвейл,Whitevale
33563710,Могилы Хартфорда,The Graves of Hearthford
33574946,"Сторожка ""Грязный Грифон""",The Dirty Griffin Lodge
33601069,Двор Хокстон,Hawkston Court
33604798,Бургброне,Burgbrone
33606869,Поющее Дерево Стендарра,Singing Tree of Stendarr
33613776,Руины Старой Лачуги Мурсли,Ruins of The Old Moorsly Hovel
33619575,"Хостел ""Неугомонная Фея""",The Restless Fairy Hostel
33622100,Амбар Вудвинг,Woodwing Grange
33633593,Замок Стадехон,Castle Stadehon
33653056,Бургвейл,Burgvale
33659136,Шабаш Алкаир,Alcaire Coven
33667511,"Таверна ""Серебряный Кинжал""",The Silver Dagger Tavern
33667771,Вествелл,Westwell
33678818,Хижина Виккрофт,The Wickcroft Cabin
33693665,Тюрьма Алабивыра,Alabywyr's Gaol
33711270,Усадьба Букингхаус,The Buckinghouse Farmstead
33712320,Руины Амбара Муринг,Ruins of Mooring Grange
33742343,Святилище Джоун,Shrine of Jone
33756086,Руины Хижины Грининг,Ruins of The Greening Cabin
33778416,Круг Карололды,The Circle of Carololda
33837180,Иссакеликат,Issaqelikat
33840394,Цитадель Маешан,The Citadel of Maeshan
33843244,Особняк Мауге,Mauge Manor
33860020,"Таверна ""Танцующая Ондатра""",The Dancing Muskrat Inn
33862990,"Паб ""Грязный Замок""",The Dirty Castle Pub
33877175,Замок Гургем,Castle Gurgem
33892157,Холл Клотхт,Klotht Hall
33908814,Холд Кларнема,Klarnem's Hold
33924965,Лачуга Старой Лхогки,Old Lhogka's Shack
33959037,Руины Особняка Циегхтан,Ruins of Cyeghtan Manor
33964710,Усадьба Клеркум,The Klerkum Farmstead
33971691,Монумент Дивад,Divad Monument
33987319,Заги-Гора,Zagi-Gora
33992663,Холл Тулдам,Tuldam Hall
33992901,Святилище Дугрода,Shrine of Dugrod
33995091,Холд В'иза,V'is's Hold
34010017,Башня Ларчир,Tower Lurchir
34017636,Холд Фаерд,The Hold of Faerd
34020840,"Таверна ""Мертвая Коза""",The Dead Goat Tavern
34606375,"Сторожка ""Грязная Ондатра""",The Dirty Muskrat Lodge
34606713,Подземелье Мурэм,The Moorham Vaults
34610458,Хорпат,Horpath
34612293,Жилище Старика Барбирря,Old Barbyrrya's Place
34623526,Радостная Реликвия Джулианоса,Joyous Relic of Julianos
34650610,Ипсборн,Ipsborne
34653398,Амбар Херттон,Hearthton Grange
34655450,Руины Двора Бакингтон,Ruins of Buckington Court
34663298,Ньюброн,Newbrone
34669122,Старая Хибара Гаеркрофт,The Old Gaercroft Hovel
34670697,Святилище И'ффре,Shrine of Jephre
34682192,Пенмор,Penmore
34701636,Усадьба Муринг,The Mooring Farmstead
34707722,Замок Копперкрофт,Castle Coppercroft
34716100,Усадьба Мастерслей,The Mastersley Farmstead
34717299,Руины Особняка Ашхарт,Ruins of Ashhart Manor
34727416,Лачуга Старой Моргайн,Old Morgayne's Shack
34742268,Святилище Эфена,Shrine of Ephen
34760803,Погост Кингхэм,The Kingham Graveyard
34761870,Руины Хижины Мастерхарт,Ruins of The Masterhart Cabin
34790921,Поющий Пророк Акатоша,Singing Prophet of Akatosh
34805654,Руины Лачуги Старой Лисайны,Ruins of Old Lysayne's Hovel
34828989,Нежная Душа Зенитара,Gentle Soul of Zenithar
34885762,Гробницы Куджем,The Cujem Tombs
34889912,Дворец Нафилем,Nafylem Palace
34891824,Бетон,Beton
34908636,"Паб ""Несчастный Олень""",The Unfortunate Stag Pub
34912529,"Таверна ""Жаждущий Меч""",The Thirsty Sword Tavern
34925762,"Паб ""Жаждущий Кувшин""",The Thirsty Jug Pub
34941710,Дом Небуханона,The House of Nebuchanon
34958376,Амбар Слифилк,Slifylke Grange
34973543,Тулаирииса,Tulairiisa
35008605,Калогуджа,Kaloguja
